,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
0,Senior Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,"Remote in Boston, MA 02112",Not Provided,Full-time,"For years, Capital One has been leading the industry in using machine learning to create real-time, intelligent, automated customer experiences.",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
1,Education Director,John M. Barry Boys & Girls Club of Newton,"Newtonville, MA 02460","$50,000 - $52,000 a year",Full-time,"Program Development: Design, develop, and implement cutting-edge STEM programs, including robotics, coding, AI, drone technology, 3D printing, and VR, thatâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
2,AI Advocate,Snyk,"Boston, MA",Not Provided,Not Provided,This entry-level role is perfect for a software developer with a keen interest in machine learning (ML) and artificial intelligence (AI) or cybersecurity.,/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
3,"Data Science Postdoc, Video Computer Vision",Johnson & Johnson,"Cambridge, MA",Not Provided,Not Provided,"A Ph.D. degree in a field related to quantitative analysis, such as physics, mathematics, artificial intelligence, computer science, applied mathematics,â€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
4,Machine learning scientist,Beth Israel Deaconess Medical Center,"Boston, MA (Fenway area)",Not Provided,Not Provided,"As an ML/AI scientist, you will lead technical projects in and will be responsible for creating project plans and implementing and evaluating new ML/AIâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
5,Data Scientist Psychiatry,Brigham & Womens Hospital(BWH),"Boston, MA 02115 (Mission Hill area)",Not Provided,Not Provided,"Experience in bioinformatics analysis, machine learning and artificial intelligence is desired.
Dr. Amit Anand, Director of the Brigham and Womens Psychiatryâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
6,"Research Scientist, AI & Machine Learning Security",Oracle,"Burlington, MA",Not Provided,Full-time,"Your contributions have the chance to create real impact on our products and advance science.
We focus on the development of technologies that keep Oracle atâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
7,Data Scientist III (LLM Researcher),CODAMETRIX,"Boston, MA 02116 (South End area)",Not Provided,Full-time,"CodaMetrix is revolutionizing Revenue Cycle Management with its AI-powered autonomous coding solution, a multi-specialty AI-platform that translates clinicalâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
8,Data Scientist,Boston Childrens Hospital,"Hybrid work in Boston, MA 02115",Not Provided,Full-time,"This Data Scientist models complex scientific clinical data, discovering business/clinical/health insights and identifying opportunities through the use ofâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
9,Senior Computational Biologist,GALY,"Boston, MA",Not Provided,Full-time,"Using less land, less water, less energy, and making less waste.
As a pioneer in our data science efforts, you will play a pivotal role in advancing ourâ€¦",/rc/clk?jk=6a9b8cf694f77090&bb=wSSF-ZNhGhu16XMSLovHnvq4AAQM_eOZqfkRIi2yhEzN8gVZdyUnFo2HWvycwfsDVTzPAXz3gdde9XgLmi82r5jCoYCFjP4ji0k-KAk18rMfcDBjrkDe9-rLy8B4gFg4&xkcb=SoCQ67M3-F6nyLx1Ep0EbzkdCdPP&fccid=e717780e23c554a2&vjs=3
