,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Raw_Link
0,Sr. Data Scientist,Divisions Maintenance Group,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Reports To: Director of Engineering.
We believe analytics will be a game-changer in the industries we operate in, and we are seeking a Data Scientist to helpâ€¦",https://www.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0ChMtQf-A3rcejQS8WENhkcJf0VCqx65V__yQ2A7vC4cTohnbztANPHjf0Z2ExYU5Gt0NDYMucmwIpLoELmp1zNpQ4oULGToYwdH-l6NEPp8R1uvq36pqb5X91AYYt0NFZtN3vi0C-NDM6j--ojpLrDw3oR8XXxerfiD9cMiWh2-fmrX48sAPsruOcmK5518E--A9FCt_8MsgLgkcY4F_bw5abJWp4ZxSsbl3kAj8TJSO7ux22go5W2B49lFoEMErn_5dI4onLkr1WzM4ER62yXB0rSlsQg7_e5KjG4H547OwPWloiPPZjMwsvJ0cbuXipGrU5JKrJBjE1V8nbhPFXQFpFLoZaNUbTNmR-jFtKRo1XqAmbGCFC9Q8Jm3XVreNGVgxI-7d-GSM913IzVPeDcE6j1GeWv1mcK4YroTd7BszIHN4Q2V5beVxchL4Xy2FFgU9seZ9OcbxzdKnC943nSEK6PgNDbNUp2BVDlTNBB8R1H0T3rK0N6R5cY6z9ZxtUo7kFzEeOJRaftnB1VvkmykUjPFNE5w6C5i86kbTR8UdE9WX7uGO2CaKB2NUDqJ_iXNJ_DKE_B_1zeQJlg6RPR4g2WThKcuxNDY94P-WkiG3kwO9A95jczAX7nHdA6fzo=&xkcb=SoDf6_M3-F9EDNRcAh0LbzkdCdPP&camk=4HOcmqOLYrDx7hHhs_hYog==&p=0&fvj=0&vjs=3
1,"Data Scientist, Masters Degree (Machine Learning and Operations Research)",Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)",Not Provided,Not Provided,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/viewjob/rc/clk?jk=664d97a5eb67e73b&bb=vWN1eiqB8-ZLUsGy5tzGH0-PxWpBC9_bbVVYqndrmTG5p6zhRzFC4QxNqKV-3AkNv9TA7Vx8pGvEXQ7jmDkeb0RbsoiTolAeUGjZ95wS62lUb1OZI8Cg8w%3D%3D&xkcb=SoCf67M3-F9EDNRcAh0KbzkdCdPP&fccid=2da0dedf6df97194&vjs=3
2,Experienced Data Scientist (Machine Learning and Operations Research),Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)","$105,000 - $150,000 a year",Full-time,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/viewjob/rc/clk?jk=d9db9133607c48c9&bb=vWN1eiqB8-ZLUsGy5tzGH82P7spoQQYpZ3yel_ueued5D9NXuY_yRUqgxEYNhRIdEV6qt1zSsnNzfrBg6jZ9cya_SXIgRogQfaUmyeGRi8xDJceXCM-XqQ%3D%3D&xkcb=SoAC67M3-F9EDNRcAh0JbzkdCdPP&fccid=2da0dedf6df97194&vjs=3
3,Summer Teacher,VineyardAppCamp,"Cincinnati, OH",Not Provided,Not Provided,"In this role, you will provide knowledge and instruction to eager students.
Previous classroom experience or camp counselor experience is a big plus.",https://www.indeed.com/viewjob/rc/clk?jk=b4ff80798b21ee03&bb=vWN1eiqB8-ZLUsGy5tzGHyvye6xw8iU4Yibql9qlk6wnCBkbpu_S4FvtPoFsAONWd_u0fRrCGG0JM1tXbTKnXzUE7Hmot0b6XtWy_XgUiiNMRLa4SJqkjYJD2R-o6Im4&xkcb=SoC267M3-F9EDNRcAh0IbzkdCdPP&fccid=0910db562570d0a7&cmp=VineyardAppCamp&ti=Teacher&vjs=3
4,Post-Doc AI,Procter & Gamble,"Mason, OH 45040","$128,000 a year",Full-time,"We will a) segment micro-actions / sub-activities, b) determine effort required during specific tasks, c) assess time taken to complete a certain task, e.g.â€¦",https://www.indeed.com/viewjob/rc/clk?jk=da11d3c6e2430bb5&bb=vWN1eiqB8-ZLUsGy5tzGH0gD8OXvJEjk_estneEw4HXam5FQtzwAq-l81AAqOXp7IVKr3EssVeCankwtEZEDQGvH37Cow2_wKl5WzNPWeG07mQKo5mEIyQ%3D%3D&xkcb=SoA467M3-F9EDNRcAh0PbzkdCdPP&fccid=2da0dedf6df97194&vjs=3
5,Assistant Vice President/Vice President of Advanced Analytics,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,Spearhead data science initiatives incorporating artificial intelligence and machine learning to optimize business processes and product offerings.,https://www.indeed.com/viewjob/rc/clk?jk=7b816420a261a30b&bb=vWN1eiqB8-ZLUsGy5tzGH73Qc14_DPPZYQuJXk5hPfT67sOvsIXq47_IJn3xrELL76Ss1-p57pd7aogWalTesFCVGv14IgAq5uUr9XXh1EZYSr_BfD_xFQ%3D%3D&xkcb=SoBu67M3-F9EDNxcAh0LbzkdCdPP&fccid=11e7471668f88afd&vjs=3
6,Senior Data Scientist,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,1-2 years direct experience applying machine learning to pharmaceutical or clinical data (or translatable artificial intelligence [ai] techniques);,https://www.indeed.com/viewjob/rc/clk?jk=f37fabaa32bba8d2&bb=vWN1eiqB8-ZLUsGy5tzGHx43HmaIU_H_N8DVr2rMzOd6jU2NeoeTysg0J02XziR3G5Usz-y0u1hL8FyGXq_cgzMSPRIwQWAEI8OrwfuhBXHmD2gGToGhFNmTkfPPzWtz&xkcb=SoDa67M3-F9EDNxcAh0KbzkdCdPP&fccid=dc86b41d5cdf3527&vjs=3
7,Senior Model Validator,U.S. Bank National Association,"Cincinnati, OH 45202 (Mount Adams area)","$116,280 - $150,480 a year",Full-time,This position is an individual contributor role residing within the Bankâ€™s Second Line of Defense Risk Management and Compliance organization.,https://www.indeed.com/viewjob/rc/clk?jk=dc28d6255d539066&bb=vWN1eiqB8-ZLUsGy5tzGH0ZYcUyz0dWk-HSosUpqE_IxQjiwBxsvWpaDhTKeK3C_j5LPu7wabeU0Xmjw3vo75NONQhujxs808mRO8Qme-Vhuw09Isa2KiQ%3D%3D&xkcb=SoBH67M3-F9EDNxcAh0JbzkdCdPP&fccid=ae5bfc395c530fbc&vjs=3
8,"Chief of Staff - Director, Strategy & Data Advanced Analytics (P2494)",84.51Â°,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Champion AI Integration: Spearhead the development and implementation of the enterprise-wide artificial intelligence (AI) strategy, maximizing the value ofâ€¦",https://www.indeed.com/viewjob/rc/clk?jk=65f7496c59272ce0&bb=vWN1eiqB8-ZLUsGy5tzGH27j08ydRo-W_uc4GOzEXV9XD6MFOUAja0zZ_R30BuMREtVQo4LLS9lRLpzemdOhfcBtoeqftLdwZjw4nPFmbqCymUT3fF1-5DoeHEzaT1oQ&xkcb=SoDz67M3-F9EDNxcAh0IbzkdCdPP&fccid=d1ae41cea4bc9f6e&vjs=3
9,Senior Director Service Solutions Strategy,Johnson & Johnson,"Cincinnati, OH","$163,000 - $282,000 a year",Not Provided,"The Senior Director, Service Solutions Strategy, Surgery, will lead the development and execution of customer-first strategies and global governance of serviceâ€¦",https://www.indeed.com/viewjob/rc/clk?jk=934ffb2b48bbe44f&bb=vWN1eiqB8-ZLUsGy5tzGH5EEqPsBZdMWuW8oUiAmq1u0KsG02VDgxTRh9g7ZRvNlXgEHaKdv9ZhUcHMkZizH5UcTj4Qjz_DtyRPBT_KmySVHcvV2ZlhTrD_0ZS8i4TEW&xkcb=SoB967M3-F9EDNxcAh0PbzkdCdPP&fccid=0bed8e17bc113980&vjs=3
10,Senior Informatician,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,1-2 years direct experience applying machine learning to pharmaceutical or clinical data (or translatable artificial intelligence [ai] techniques);,https://www.indeed.com/viewjob/rc/clk?jk=25dfcc5dcc9ae5d5&bb=vWN1eiqB8-ZLUsGy5tzGHzwICDBvNDUlkvBCXX3PWte-_vEtOqxuMSpfqb8QIDNPzUxZ1epItNUr5v_bQodXzDkUs4qxil3fteADizU5wTDItsgsp1DVDHmzXKQ8NzgO&xkcb=SoDJ67M3-F9EDNxcAh0ObzkdCdPP&fccid=dc86b41d5cdf3527&vjs=3
11,Bourbon Tasting Facilitators (Bar & Tasting Rooms),Willow Run Custom Bourbon,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,Bourbon Wizard â€“ AI & Bourbon Pick Experiences: An innovative tasting experience where artificial intelligence assists in selecting the perfect bourbon.,https://www.indeed.com/viewjob/rc/clk?jk=940a880ccf1de605&bb=vWN1eiqB8-ZLUsGy5tzGH8X0jYx5c5m6qWnPPv4xwzEiPF0eRcupp-xOsgsszVBWkJI56AcU3KSvjBCaabFSuNRrAU3a4vukW26omQ0FmSt-9plmw2MAaPl5kuREIHoW&xkcb=SoBU67M3-F9EDNxcAh0NbzkdCdPP&fccid=87d3165329cb7a94&cmp=Willow-Run-Custom-Bourbon&ti=Facilitator&vjs=3
12,"Director, Machine Learning-Artificial Intelligence",Archer Daniels Midland Company,"Erlanger, KY",Not Provided,Monday to Friday,"Lead the development of artificial intelligence initiatives in an environment rich in complex biological, environmental, operational, and business data.",https://www.indeed.com/viewjob/rc/clk?jk=73d474baf268a2e6&bb=vWN1eiqB8-ZLUsGy5tzGH4o49aHW2uTSIFyKOtc23LuiwMIu0L9oxtZsm2wXvWhiQJOkic5sFKAkV81AKj1SX0iEhzwyMmgSUJpw1iThhdi_kYdwLpU07CJCBRbrwxuZ&xkcb=SoDg67M3-F9EDNxcAh0MbzkdCdPP&fccid=a46683ec51ead49e&vjs=3
13,Engineer II-Systems (Linux),Cincinnati Childrens Hospital,"Cincinnati, OH",$34.50 - $43.54 an hour,Full-time,"In this role, you will be responsible for performing Linux system build and operations support for RHEL/OEL/CentOS based distributions.",https://www.indeed.com/viewjob/rc/clk?jk=2fa0dd3e1a64ab67&bb=vWN1eiqB8-ZLUsGy5tzGH3y5x8MTAO-hagpUMr5UZ03c5sRHwzggZPVMTtgyXr9c3wxBC4BStl4kzhbutX6k9DnI3SDtHbyXy3D15ANjsNzLCzGSBli2iMQql27nGuQz&xkcb=SoAJ67M3-F9EDNxcAh0DbzkdCdPP&fccid=1cf1d6e36473c700&vjs=3
