,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Link
0,Expanded Functions Dental Assistant,Dental Care of Fairfield,"Hamilton, OH 45011",$36 - $39 an hour,Full-time,"Plus weve got the cutest office puppy youve ever seen, with cuddles on demand.
Placing and adjusting composite fillings and buildups.",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
1,Engineer â€“ NDE Imaging Intelligence,GE Aviation,"Evendale, OH",Not Provided,Not Provided,"Software development projects include cloud computing, parallelization, computational optimization, and object-oriented design and could include many otherâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
2,Physician - Infectious Disease,The Christ Hospital Health Network,"Cincinnati, OH 45219 (Mt. Auburn area)",Not Provided,Full-time,"Six infectious diseases physician + one infectious diseases NP practice.
Hospital based practice at one facility / one hospital campus - no travel or commutingâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
3,Oracle Cloud PPM Consultant,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"A skilled consultant with Oracle Project Management Cloud expertise.
Have the desire to help clients meet the challenges of their Project Financial Managementâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
4,Retail Banking Management Consultant/Manager,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"The Management Consultant/Manager designs and implements retail banking business changes that drive industry-specific, function and digital operating modelâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
5,US AWS Alliances Leader - Director,PRICE WATERHOUSE COOPERS,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Support team to disrupt, improve and evolve ways of working when necessary.
Arrange and sponsor appropriate assignments and experiences to help people realiseâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
6,Supply Chain Strategy Manager - Midwest,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"We define Supply Chain transformation as the digital reinvention of Planning through to Fulfillment.
You have energy and drive, along with personal resilience,â€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
7,Lead ML Engineer,Cincinnati Childrens Hospital,"Cincinnati, OH",$57.80 - $75.36 an hour,Full-time,"SUBFUNCTION DEFINITION: Designs, develops and deploys machine learning solutions to meet enterprise goals and support experimentation and innovation.",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
8,Pulmonary Biology - Associate Professor - Research,Cincinnati Childrens Hospital,"Cincinnati, OH",Not Provided,Full-time,The Cincinnati Childrens Research Foundation invites applications for an Associate Professor in the Division of Pulmonary Biology.,https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
9,Intelligent Automation Portfolio Architect,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"The role involves working with the Great American Divisions to help them define both tactical and cutting-edge solutions using Robotic, cognitive automation, AIâ€¦",https://www.indeed.com/rc/clk?jk=d5524415f7d1b916&bb=M8rx8fN2CL2Bpk3P183BTkavEoA2czpaH55FsnLbZsiGstywF3o6O04gygoZdZBXn71q4HOyt-7QRXGF26n8X3TUkXuj0S6NUK6lyz5FnlOQ3Wdy3WQiw5zrAeicTtg8&xkcb=SoCR67M3-F6H_eRcMR0bbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
