,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Link
0,Robotics Implementation Project Manager,Photoneo,"Hybrid work in Hebron, KY 41048","From $90,000 a year",Full-time,"Operations/Workflow - Dive deep into the customers existing operation and workflows, embed yourself in their team and use a combination of technicalâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
1,Digital Contact Solutions Senior Associate,PRICE WATERHOUSE COOPERS,"Remote in Cincinnati, OH 45202",Not Provided,Not Provided,"We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clientsâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
2,"Management Consulting Manager, Legal and CLM Reinvention",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Individuals in this role will have Prior experince with:
Legal and/or CLM operating model assessment, design and transformation execution.
Travel is 0 to 100%.",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
3,Microsoft Dynamics 365 Senior Manager,Deloitte,"Cincinnati, OH",Not Provided,Full-time,"Customer & Marketing is creating a new model for a new age-were an agency and a consultancy.
A Microsoft Dynamics CRM Senior Manager works with Microsoftâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
4,Marketing Director,Dean Dorton,"Fort Wright, KY 41011",Not Provided,Not Provided,"Dean Dorton is seeking a Marketing Director who will play a pivotal role in continuing to shape our brand identity, expanding our market presence, andâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
5,"Manager/Senior Manager, Enterprise Architecture",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,We help our clients articulate a compelling business-driven vision and target state for Enterprise Architecture and develop roadmaps that guide successfulâ€¦,https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
6,Digital Contact Solutions Manager,PRICE WATERHOUSE COOPERS,"Remote in Cincinnati, OH 45202",Not Provided,Not Provided,"We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clientsâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
7,"Manager, Contract Lifecycle Management (CLM) Reporting & AI",Deloitte,"Cincinnati, OH",Not Provided,Full-time,"The CLM Manager (Reporting and AI) utilizes their experience and expertise to establish, maintain, support, and enhance the US Firm CLM tools and products toâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
8,BPO Solution Architect Senior Manager,Accenture,"Remote in Cincinnati, OH 45202",Not Provided,Full-time,"Developing and maintaining a keen understanding of the health industry, marketplace intelligence trends, competition, emerging capabilities, analytics, toolsâ€¦",https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
9,"Manager, Cyber Architecture and Engineering",KPMG,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,Apply a thorough knowledge of IT security and architecture to manage day-to-day operational responsibilities of a comprehensive information security programâ€¦,https://www.indeed.com/rc/clk?jk=40c3b4e878537c7b&bb=81LPGOX1v9pKaiAGMfvyapnUVRkhJiiU0Kfg1QC1kjsqKrxUf0j_dPy2Z4q2FBnPgJJIHJdHQCz1Ron8DSf5mG0T5Vocccy6gpVc7PzgyTp_qPICdKEQgP8lqL7nOtgP&xkcb=SoBg67M3-F6Bt8SD1Z0FbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
