,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Link
0,Summer Teacher,VineyardAppCamp,"Cincinnati, OH",Not Provided,Not Provided,"In this role, you will provide knowledge and instruction to eager students.
Previous classroom experience or camp counselor experience is a big plus.",https://www.indeed.com/viewjob?jk=b4ff80798b21ee03&cmp=VineyardAppCamp&t=Teacher&xkcb=SoCw67M3-FG61NwiCJ0LbzkdCdPP&vjs=3
1,AI Specialist,YMCA of Greater Cincinnati,"Cincinnati, OH 45202 (Over-The-Rhine area)",$23 an hour,Full-time,We are seeking an AI Specialist to be responsible for developing & maintaining AI-driven conversational interfaces that will play a crucial role in enhancingâ€¦,https://www.indeed.com/viewjob?jk=d65aa48714c0a701&xkcb=SoAE67M3-FG61NwiCJ0KbzkdCdPP&vjs=3
2,Post-Doc AI,Procter & Gamble,"Mason, OH 45040","$128,000 a year",Full-time,"We will a) segment micro-actions / sub-activities, b) determine effort required during specific tasks, c) assess time taken to complete a certain task, e.g.â€¦",https://www.indeed.com/viewjob?jk=da11d3c6e2430bb5&xkcb=SoCZ67M3-FG61NwiCJ0JbzkdCdPP&vjs=3
3,Senior Director Service Solutions Strategy,Johnson & Johnson,"Cincinnati, OH","$163,000 - $282,000 a year",Not Provided,"The Senior Director, Service Solutions Strategy, Surgery, will lead the development and execution of customer-first strategies and global governance of serviceâ€¦",https://www.indeed.com/viewjob?jk=934ffb2b48bbe44f&xkcb=SoAt67M3-FG61NwiCJ0IbzkdCdPP&vjs=3
4,"Data Scientist, Masters Degree (Machine Learning and Operations Research)",Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)",Not Provided,Not Provided,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/viewjob?jk=664d97a5eb67e73b&xkcb=SoCj67M3-FG61NwiCJ0PbzkdCdPP&vjs=3
5,Bourbon Tasting Facilitators (Bar & Tasting Rooms),Willow Run Custom Bourbon,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,Bourbon Wizard â€“ AI & Bourbon Pick Experiences: An innovative tasting experience where artificial intelligence assists in selecting the perfect bourbon.,https://www.indeed.com/viewjob?jk=940a880ccf1de605&cmp=Willow-Run-Custom-Bourbon&t=Facilitator&xkcb=SoAX67M3-FG61NwiCJ0ObzkdCdPP&vjs=3
6,Experienced Data Scientist (Machine Learning and Operations Research),Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)","$105,000 - $150,000 a year",Full-time,As a Data Scientist for P&G you will drive productivity and impact our business results across a variety of platforms.,https://www.indeed.com/viewjob?jk=d9db9133607c48c9&xkcb=SoCK67M3-FG61NwiCJ0NbzkdCdPP&vjs=3
7,Senior Model Validator,U.S. Bank National Association,"Cincinnati, OH 45202 (Mount Adams area)","$116,280 - $150,480 a year",Full-time,This position is an individual contributor role residing within the Bankâ€™s Second Line of Defense Risk Management and Compliance organization.,https://www.indeed.com/viewjob?jk=dc28d6255d539066&xkcb=SoA-67M3-FG61NwiCJ0MbzkdCdPP&vjs=3
8,Engineer II-Systems (Linux),Cincinnati Childrens Hospital,"Cincinnati, OH",$34.50 - $43.54 an hour,Full-time,"In this role, you will be responsible for performing Linux system build and operations support for RHEL/OEL/CentOS based distributions.",https://www.indeed.com/viewjob?jk=2fa0dd3e1a64ab67&xkcb=SoDX67M3-FG61NwiCJ0DbzkdCdPP&vjs=3
9,Technology Strategy & Advisory Consultant or Manager - Infrastructure Optimization and Modernization,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,We are Technology Strategy and Advisory and we design and execute industry-relevant reinventions that allow organizations to realize exceptional business valueâ€¦,https://www.indeed.com/viewjob?jk=39647b82a28b0a90&xkcb=SoBj67M3-FG61NwiCJ0CbzkdCdPP&vjs=3
10,Executive Office Administrator,NaviStone,"Hybrid work in Cincinnati, OH",Not Provided,Not Provided,"You will be responsible for providing high-level administrative support to the executive team, including scheduling and managing meetings and travelâ€¦",https://www.indeed.com/viewjob?jk=46f6d75240ccddea&xkcb=SoD-67M3-FG61NwiCJ0BbzkdCdPP&vjs=3
11,Senior Informatician,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,1-2 years direct experience applying machine learning to pharmaceutical or clinical data (or translatable artificial intelligence [ai] techniques);,https://www.indeed.com/viewjob?jk=25dfcc5dcc9ae5d5&xkcb=SoBK67M3-FG61NwiCJ0AbzkdCdPP&vjs=3
12,"Director, Machine Learning-Artificial Intelligence",Archer Daniels Midland Company,"Erlanger, KY",Not Provided,Monday to Friday,"Lead the development of artificial intelligence initiatives in an environment rich in complex biological, environmental, operational, and business data.",https://www.indeed.com/viewjob?jk=73d474baf268a2e6&xkcb=SoDE67M3-FG61NwiCJ0HbzkdCdPP&vjs=3
13,"Product Manager - Smart Audiences, Integrated Media Solutions",Procter & Gamble,"Cincinnati, OH 45202 (Mount Adams area)","$105,000 - $150,000 a year",Full-time,Owning the relationship with our categories to understand their needs and recommend audience data strategy while helping implement end to end.,https://www.indeed.com/viewjob?jk=4e01fcbccb7119ab&xkcb=SoBw67M3-FG61NwiCJ0GbzkdCdPP&vjs=3
14,Assistant Vice President/Vice President of Advanced Analytics,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,Spearhead data science initiatives incorporating artificial intelligence and machine learning to optimize business processes and product offerings.,https://www.indeed.com/viewjob?jk=7b816420a261a30b&xkcb=SoDt67M3-FG61NwiCJ0FbzkdCdPP&vjs=3
